"filename", "language", "JSON", "HTML", "CSS", "JavaScript", "Markdown", "JavaScript React", "comment", "blank", "total"
"c:\Users\abbon\workspace\scratch\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\abbon\workspace\scratch\api\database.json", "JSON", 177, 0, 0, 0, 0, 0, 0, 0, 177
"c:\Users\abbon\workspace\scratch\database.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\abbon\workspace\scratch\package-lock.json", "JSON", 30487, 0, 0, 0, 0, 0, 0, 1, 30488
"c:\Users\abbon\workspace\scratch\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\abbon\workspace\scratch\public\index.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\abbon\workspace\scratch\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\abbon\workspace\scratch\src\App.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\abbon\workspace\scratch\src\App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\abbon\workspace\scratch\src\Scratch.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\abbon\workspace\scratch\src\components\ApiManager.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\abbon\workspace\scratch\src\components\ApplicationViews.jsx", "JavaScript React", 0, 0, 0, 0, 0, 24, 0, 3, 27
"c:\Users\abbon\workspace\scratch\src\components\Home.jsx", "JavaScript React", 0, 0, 0, 0, 0, 14, 0, 3, 17
"c:\Users\abbon\workspace\scratch\src\components\auth\Login.css", "CSS", 0, 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\abbon\workspace\scratch\src\components\auth\Login.jsx", "JavaScript React", 0, 0, 0, 0, 0, 87, 0, 6, 93
"c:\Users\abbon\workspace\scratch\src\components\auth\Register.css", "CSS", 0, 0, 43, 0, 0, 0, 0, 7, 50
"c:\Users\abbon\workspace\scratch\src\components\auth\Register.jsx", "JavaScript React", 0, 0, 0, 0, 0, 537, 0, 12, 549
"c:\Users\abbon\workspace\scratch\src\components\courses\FavoriteCourse.css", "CSS", 0, 0, 29, 0, 0, 0, 0, 4, 33
"c:\Users\abbon\workspace\scratch\src\components\courses\FavoriteCourses.jsx", "JavaScript React", 0, 0, 0, 0, 0, 88, 0, 11, 99
"c:\Users\abbon\workspace\scratch\src\components\dashboard\Dashboard.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\abbon\workspace\scratch\src\components\dashboard\Dashboard.jsx", "JavaScript React", 0, 0, 0, 0, 0, 40, 0, 4, 44
"c:\Users\abbon\workspace\scratch\src\components\nav\Nav.css", "CSS", 0, 0, 23, 0, 0, 0, 0, 5, 28
"c:\Users\abbon\workspace\scratch\src\components\nav\Nav.jsx", "JavaScript React", 0, 0, 0, 0, 0, 35, 0, 3, 38
"c:\Users\abbon\workspace\scratch\src\components\play\CourseSearch.css", "CSS", 0, 0, 52, 0, 0, 0, 5, 12, 69
"c:\Users\abbon\workspace\scratch\src\components\play\CourseSearch.jsx", "JavaScript React", 0, 0, 0, 0, 0, 195, 5, 16, 216
"c:\Users\abbon\workspace\scratch\src\components\play\FindCourse.jsx", "JavaScript React", 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\abbon\workspace\scratch\src\components\play\Play.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\abbon\workspace\scratch\src\components\play\Play.jsx", "JavaScript React", 0, 0, 0, 0, 0, 56, 0, 5, 61
"c:\Users\abbon\workspace\scratch\src\components\play\Scorecard.css", "CSS", 0, 0, 35, 0, 0, 0, 0, 5, 40
"c:\Users\abbon\workspace\scratch\src\components\play\Scorecard.jsx", "JavaScript React", 0, 0, 0, 0, 0, 293, 5, 21, 319
"c:\Users\abbon\workspace\scratch\src\components\profile\Profile.jsx", "JavaScript React", 0, 0, 0, 0, 0, 37, 0, 4, 41
"c:\Users\abbon\workspace\scratch\src\components\stats\Scores.css", "CSS", 0, 0, 70, 0, 0, 0, 0, 11, 81
"c:\Users\abbon\workspace\scratch\src\components\stats\Scores.jsx", "JavaScript React", 0, 0, 0, 0, 0, 300, 0, 12, 312
"c:\Users\abbon\workspace\scratch\src\index.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\abbon\workspace\scratch\src\index.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\abbon\workspace\scratch\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\abbon\workspace\scratch\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 4, 1, 6
"Total", "-", 30751, 20, 308, 59, 38, 1718, 19, 205, 33118